,0
0,0.0006043390603736043
1,0.0005237826844677329
2,0.00046095845755189657
3,0.0004029058327432722
4,0.00034980764030478895
5,0.0003176388272549957
6,0.0002702308993320912
7,0.00023841962683945894
8,0.00020435461192391813
9,0.00017789349658414721
10,0.00015533693658653647
11,0.00013383226178120822
12,0.00011418870417401195
13,9.898266580421478e-05
14,8.43270099721849e-05
15,7.160205132095143e-05
16,6.2199127569329e-05
17,5.393457104219124e-05
18,4.6158060285961255e-05
19,4.0547045500716195e-05
20,3.512907278491184e-05
21,3.196970283170231e-05
22,2.8063752324669622e-05
23,2.49351687671151e-05
24,2.2086065655457787e-05
25,1.663245893723797e-05
26,1.5087623978615738e-05
27,1.1710854778357316e-05
28,1.08000840555178e-05
29,9.515094461676199e-06
30,7.447709322150331e-06
31,6.57975533613353e-06
32,5.3912044677417725e-06
33,4.925876055494882e-06
34,3.57557200914016e-06
35,2.9006896511418745e-06
36,2.7168400720256614e-06
37,2.6893751510215225e-06
38,2.2888464172865497e-06
39,1.6934794757617055e-06
40,1.7737847883836366e-06
41,1.5599439393554348e-06
42,1.303624912907253e-06
43,1.3261305866762996e-06
44,1.5213195183605421e-06
45,1.2005491498712217e-06
46,1.1097265542048262e-06
47,1.0993212526955176e-06
48,7.169774676185625e-07
49,6.721427325828699e-07
50,1.189881345453614e-06
51,1.1248058626733837e-06
52,8.785970067037852e-07
53,6.140888899608399e-07
54,4.698441102846118e-07
55,9.03290242604271e-07
56,7.02871375324321e-07
57,6.031733050804178e-07
58,5.859554903508979e-07
59,4.6077909132691275e-07
60,3.741329805961868e-07
61,5.346146281226538e-07
62,5.00489363730594e-07
63,1.8770899146147713e-07
64,2.0240088360878872e-07
65,2.708114266170014e-07
66,3.998753186351678e-07
67,3.9259512618627923e-07
68,3.4411317528793006e-07
69,4.593542257680383e-07
70,4.827682005270617e-07
71,4.524674466210854e-07
72,3.849322638416197e-07
73,3.633039398209803e-07
74,6.952726607778459e-07
75,5.492304353538202e-07
76,4.6936571607147926e-07
77,5.790734576294199e-07
78,3.442182787694037e-07
79,4.917787919112016e-07
80,3.78724337224412e-07
81,4.7275091219489696e-07
82,3.808786743775272e-07
83,4.546920138182031e-07
84,5.479309379552433e-07
85,3.1915180898067774e-07
86,3.277723976680136e-07
87,3.049578367608774e-07
88,3.4292139616809436e-07
89,3.097671310570149e-07
90,2.875636937460513e-07
91,3.5731284242501715e-07
92,2.754382819603052e-07
93,2.0610522710740042e-07
94,2.395607339167327e-07
95,2.807790053793724e-07
96,2.587398739706259e-07
97,2.401820893283002e-07
98,2.3327345388679532e-07
99,2.214440826264763e-07
100,2.194433221802683e-07
101,2.0263068734038825e-07
